GEOID,Corridor
24510260403,Highlandtown
24510230200,Hamilton Lauraville
24510260102,Pimlico
24510260303,Hamilton Lauraville
24510260800,Highlandtown
24510270401,Hamilton Lauraville
24510280401,Pimlico
24510270302,Hamilton Lauraville
24510270702,Pimlico
24510270903,Penn Ave
24510271101,Highlandtown
24510271801,Pimlico
24510260201,Irvington
24510260401,Hamilton Lauraville
24510270301,Hamilton Lauraville
24510270802,E Monument St
24510270804,Waverly
24510270805,Hampden
24510271102,Hampden
24510271802,Pimlico
24510280101,Penn Ave
24510280402,Pigtown
24510280403,Belair Rd
24510271300,Greektown
24510250103,Highlandtown
24510280102,Highlandtown
24510160600,Pimlico
24510240100,Penn Ave
24510260605,Pimlico
24510271503,E Monument St
24510100200,Belair Rd
24510150800,Penn Ave
24510170300,Penn Ave
24510240400,Irvington
24510270902,Belair Rd
24510271002,Hamilton Lauraville
24510260402,E Monument St
24510271200,E Monument St
24510280404,E Monument St
24510090100,E Monument St
24510200300,E Monument St
24510271501,Belair Rd
24510250203,Hampden
24510110200,Penn Ave
24510020300,Brooklyn
24510150400,Pigtown
24510010200,Highlandtown
24510060400,Waverly
24510200600,Penn Ave
24510200701,North Ave
24510270803,Penn Ave
24510270901,Pigtown
24510271400,Hamilton Lauraville
24510271600,Park Heights
24510280302,Waverly
24510200702,Irvington
24510230100,Park Heights
24510250205,
24510270402,Hamilton Lauraville
24510250402,Brooklyn
24510260501,Greektown
24510261100,Highlandtown
24510270502,Waverly
24510270703,Waverly
24510271001,
24510120201,Waverly
24510272004,
24510120202,Waverly
24510272005,
24510272006,
24510272007,
24510280500,
24510020100,
24510060100,
24510090200,
24510090600,
24510010300,
24510080301,E Monument St
24510110100,Waverly
24510090300,Waverly
24510100300,Hampden
24510120400,Penn Ave
24510130600,Hampden
24510130804,Hampden
24510160200,Penn Ave
24510160400,Penn Ave
24510160700,Pigtown
24510170200,Penn Ave
24510180100,Greektown
24510180300,Pigtown
24510260302,Belair Rd
24510260700,Greektown
24510260900,Highlandtown
24510261000,Highlandtown
24510270101,
24510271900,Pimlico
24510272003,
24510090900,
24510100100,
24510150100,Penn Ave
24510150900,
24510200400,
24510200500,
24510250101,
24510250600,
24510260404,
24510270102,
24510270501,
24510270801,
24510271700,Pimlico
24510280200,
24510280301,
24510160801,
24510160802,
24510060300,E Monument St
24510080101,Belair Rd
24510080302,
24510080500,
24510120500,
24510130300,Penn Ave
24510130803,
24510140100,
24510150500,
24510010400,
24510020200,
24510030100,
24510030200,
24510070100,E Monument St
24510200100,
24510160300,
24510200800,Irvington
24510240200,
24510250204,
24510250206,
24510250500,
24510260101,
24510260301,Belair Rd
24510270600,Hamilton Lauraville
24510010100,
24510010500,
24510070200,E Monument St
24510070300,E Monument St
24510070400,E Monument St
24510080400,E Monument St
24510130100,E Monument St
24510130200,
24510130806,
24510200200,
24510080800,E Monument St
24510080102,Belair Rd
24510080200,Hampden
24510120700,Penn Ave
24510130400,Brooklyn
24510130700,Hampden
24510140300,Penn Ave
24510170100,Waverly
24510180200,Penn Ave
24510190300,North Ave
24510250102,Penn Ave
24510250301,Pigtown
24510250401,Brooklyn
24510080700,
24510130805,
24510210100,Pigtown
24510270701,
24510080600,
24510090400,Waverly
24510090700,
24510120300,Waverly
24510120600,
24510140200,Penn Ave
24510150200,
24510150600,North Ave
24510160500,
24510151000,
24510151200,
24510160100,Penn Ave
24510210200,Pigtown
24510240300,
24510260203,
24510260604,
24510270200,Hamilton Lauraville
24510040100,E Monument St
24510040200,Hamilton Lauraville
24510060200,E Monument St
24510090500,Waverly
24510090800,North Ave
24510120100,Park Heights
24510150701,
24510150300,
24510150702,North Ave
24510151100,
24510151300,Park Heights
24510190100,
24510190200,
24510220100,
24510230300,
24510250207,
24510250303,
24510260202,
